province,pop,cp,cr,pov_head,gdp_pc_pp,shewp,shewr,social_p,social_r,axfin_p,axfin_r,urbanization_rate,pi,rho,shareable,T_rebuild_K,income_elast,max_increased_spending,share1,finance_pre,prepare_scaleup,rating,borrow_abi,avg_prod_k,k,eff_prod_k_gar,protection,gdp_pc_pp_nat,tau_tax
Abra,51167,92.82897218628719,203.89142050304673,0.2719365,173.68948702635626,0.029682334339514158,0.06316269830617668,0.17353081756401578,0.20345720788135577,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14533744227769949,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,32475558.338250034,0.17731872965773063,1,234.60257722888616,0.19910778285602948
Agusan del Norte,141357,82.34842550798723,234.81632362665312,0.2767785,192.61648748721595,0.05712460063897764,0.24910008607872292,0.14733560328849124,0.2265208726341895,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11832981686458785,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,99495609.79134291,0.17731872965773063,1,234.60257722888616,0.21715089421413994
Agusan del Sur,141595,83.30408110359976,216.08752224449802,0.3729576,166.56492871684736,0.07623700505595637,0.1391886108170207,0.12644386776901576,0.11333413685486968,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.18652720232252246,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,86183597.91633473,0.17731872965773063,1,234.60257722888616,0.11577945828548644
Aklan,123269,79.44585903031266,211.6195103451792,0.2044606,184.5952062931508,0.07756705284875416,0.12851680008157854,0.18418347295253293,0.23954215296181958,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.08799550286835289,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,83150991.309774,0.17731872965773063,1,234.60257722888616,0.23467083807627417
Albay,267030,76.58221031242061,224.00858474710728,0.3391062,174.01538713278353,0.08152311956797827,0.17277507678010856,0.20180436413230068,0.21355415229826652,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.14923681609161135,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,169801236.05770588,0.17731872965773063,1,234.60257722888616,0.2118006513226269
Antique,121378,73.00738257920133,204.4395375188618,0.235611,173.47267606137348,0.02339324428281698,0.1722569519292951,0.24319436175917317,0.3512885692024434,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09915880014892077,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,76942128.24189499,0.17731872965773063,1,234.60257722888616,0.3405700772893201
Apayao,24614,67.65457836874164,181.01931007890963,0.5469357,119.01609118569668,0.0,0.04779411764705882,0.0970280339888075,0.11781716855981997,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.3109050533392038,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,10704860.657431092,0.17731872965773063,1,234.60257722888616,0.11135372156714345
Aurora,47135,67.26519313472515,202.19157232283237,0.2713254,165.5826185190675,0.0,0.07072148139521342,0.08244081427735074,0.1351519451347849,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11022144471797267,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,28520123.19845494,0.17731872965773063,1,234.60257722888616,0.1293420481389604
Basilan,52418,102.8185674904943,142.41108180413096,0.3211191,129.69716924099882,0.0,0.04201208374315021,0.10088407543954113,0.09404484786987755,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2545699805867445,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,24843002.517119274,0.17731872965773063,1,234.60257722888616,0.09578590989951513
Bataan,159358,109.54218999437886,289.0746782688089,0.0446542,281.0577986309048,0.0,0.16199209153847163,0.03139821189272194,0.2760261249819631,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.017403960624023496,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,163667576.04902256,0.17731872965773063,1,234.60257722888616,0.271768630415021
Batanes,4454,101.80045308641976,175.89881860592754,0.1818182,162.42638716422857,0.5,0.33342480790340284,0.019935866544628516,0.12396245162615824,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.11395423774736024,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,2643625.526432471,0.17731872965773063,1,234.60257722888616,0.1121081814177316
Batangas,546431,86.02898454395351,276.5634392311325,0.1474136,248.47606934165856,0.06250698315353007,0.10123851635614321,0.10102973003875743,0.25268893091866484,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.05103848571642853,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,496150047.8013132,0.17731872965773063,1,234.60257722888616,0.24494847496079078
Benguet,182831,92.42916188244484,341.0451674638456,0.0280084,334.0818309331195,0.0,0.2003488830116482,0.11470136490769148,0.1885254434254563,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.007748978537496473,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,223200843.41718572,0.17731872965773063,1,234.60257722888616,0.18795338222547167
Biliran,35756,82.69809868773434,205.5642049632353,0.2088654,179.90172652956028,0.042046063202999466,0.1747737556561086,0.20887795644018833,0.2736680811790785,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.09601226066507462,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,23505927.88815331,0.17731872965773063,1,234.60257722888616,0.2674474348341254
Bohol,272951,78.22296492720628,224.89207501477603,0.3057509,180.0478626033025,0.04802588221197052,0.15500591041499556,0.1380023750803216,0.3277312195827249,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.13283546708831112,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,179583238.6288394,0.17731872965773063,1,234.60257722888616,0.3025284999031226
Bukidnon,291073,78.06423230374295,209.47389468214405,0.4148774,154.9549956197152,0.06386220602848626,0.2130430442773012,0.08748279611687304,0.09708349291220753,0.0353108,0.22188520000000003,0.4437300000000001,0.2,0.06,0.8,3.0,1.5,0.05,0.2090096263218004,0.6666666666666666,0.7333333333333333,0.6,0.6333333333333333,0.27365718828027585,164816483.43848097,0.17731872965773063,1,234.60257722888616,0.09507685486258576
